County,STI_Disease,Year,Cases,Rate,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
Athens,Gonorrhoea,2021,184,213.8,86859,43008,43850,38161,31355,1443,8434,1819,3740
Athens,Gonorrhoea,2022,113,131.5,87205,43179,44025,38313,31480,1449,8468,1826,3755
Athens,Gonorrhoea,2023,162,188.0,87551,43351,44200,38465,31605,1455,8501,1833,3770
Athens,Gonorrhoea,2024,136,157.5,87897,43522,44374,38617,31730,1461,8535,1840,3785
Athens,Syphillis,2020,13,15.2,86513,42837,43676,38009,31231,1438,8401,1812,3726
Athens,Syphillis,2021,12,14.5,86859,43008,43850,38161,31355,1443,8434,1819,3740
Athens,Syphillis,2022,14,16.7,87205,43179,44025,38313,31480,1449,8468,1826,3755
Athens,Syphillis,2023,17,20.5,87551,43351,44200,38465,31605,1455,8501,1833,3770
Athens,Syphillis,2024,21,24.8,87897,43522,44374,38617,31730,1461,8535,1840,3785
Auglaize,Chlaydia,2020,259,402.6,64579,32363,32216,26420,27284,4236,6647,591,2585
Auglaize,Chlaydia,2021,194,300.6,64837,32492,32344,26525,27393,4252,6673,593,2595
Auglaize,Chlaydia,2022,201,311.3,65095,32621,32473,26631,27502,4269,6700,595,2605
Auglaize,Chlaydia,2023,301,466.6,65353,32751,32602,26737,27611,4286,6726,598,2616
Auglaize,Chlaydia,2024,205,317.5,65612,32880,32731,26842,27720,4303,6753,600,2626
Auglaize,Gonorrhoea,2020,65,101.6,64579,32363,32216,26420,27284,4236,6647,591,2585
Auglaize,Gonorrhoea,2021,110,171.1,64837,32492,32344,26525,27393,4252,6673,593,2595
Auglaize,Gonorrhoea,2022,76,118.7,65095,32621,32473,26631,27502,4269,6700,595,2605
Auglaize,Gonorrhoea,2023,109,169.4,65353,32751,32602,26737,27611,4286,6726,598,2616
Auglaize,Gonorrhoea,2024,81,126.0,65612,32880,32731,26842,27720,4303,6753,600,2626
Auglaize,Syphillis,2020,10,16.7,64579,32363,32216,26420,27284,4236,6647,591,2585
Auglaize,Syphillis,2021,12,20.0,64837,32492,32344,26525,27393,4252,6673,593,2595
Auglaize,Syphillis,2022,8,13.5,65095,32621,32473,26631,27502,4269,6700,595,2605
Auglaize,Syphillis,2023,8,13.7,65353,32751,32602,26737,27611,4286,6726,598,2616
Auglaize,Syphillis,2024,10,16.6,65612,32880,32731,26842,27720,4303,6753,600,2626
Belmont,Chlaydia,2020,254,464.2,54868,26656,28212,20797,25539,5716,789,1029,1821
Belmont,Chlaydia,2021,331,603.5,55087,26762,28324,20880,25641,5738,792,1033,1828
Belmont,Chlaydia,2022,331,604.7,55306,26869,28437,20963,25743,5761,795,1037,1835
Belmont,Chlaydia,2023,190,348.0,55526,26975,28550,21046,25845,5784,798,1041,1842
Belmont,Chlaydia,2024,231,421.9,55745,27082,28663,21129,25947,5807,801,1045,1850
Belmont,Gonorrhoea,2020,78,143.2,54868,26656,28212,20797,25539,5716,789,1029,1821
Belmont,Gonorrhoea,2021,119,218.4,55087,26762,28324,20880,25641,5738,792,1033,1828
Belmont,Gonorrhoea,2022,108,198.2,55306,26869,28437,20963,25743,5761,795,1037,1835
Belmont,Gonorrhoea,2023,91,166.9,55526,26975,28550,21046,25845,5784,798,1041,1842
Belmont,Gonorrhoea,2024,102,186.3,55745,27082,28663,21129,25947,5807,801,1045,1850
Belmont,Syphillis,2020,8,14.9,54868,26656,28212,20797,25539,5716,789,1029,1821
Belmont,Syphillis,2021,9,17.0,55087,26762,28324,20880,25641,5738,792,1033,1828
Belmont,Syphillis,2022,11,20.7,55306,26869,28437,20963,25743,5761,795,1037,1835
Belmont,Syphillis,2023,15,28.4,55526,26975,28550,21046,25845,5784,798,1041,1842
Belmont,Syphillis,2024,11,21.6,55745,27082,28663,21129,25947,5807,801,1045,1850
Brown,Chlaydia,2020,600,351.5,170964,84280,86684,64161,62002,14720,7821,4277,5579
Brown,Chlaydia,2021,753,440.8,171647,84617,87030,64417,62250,14778,7852,4294,5601
Brown,Chlaydia,2022,1129,660.9,172331,84954,87377,64674,62498,14837,7883,4311,5623
Brown,Chlaydia,2023,816,477.6,173015,85291,87724,64930,62746,14896,7914,4328,5645
Brown,Chlaydia,2024,986,577.3,173699,85628,88070,65187,62994,14955,7946,4345,5668
Brown,Gonorrhoea,2020,428,250.6,170964,84280,86684,64161,62002,14720,7821,4277,5579
Brown,Gonorrhoea,2021,403,236.0,171647,84617,87030,64417,62250,14778,7852,4294,5601
Brown,Gonorrhoea,2022,234,137.4,172331,84954,87377,64674,62498,14837,7883,4311,5623
Brown,Gonorrhoea,2023,345,201.9,173015,85291,87724,64930,62746,14896,7914,4328,5645
Brown,Gonorrhoea,2024,432,252.7,173699,85628,88070,65187,62994,14955,7946,4345,5668
Brown,Syphillis,2020,43,25.7,170964,84280,86684,64161,62002,14720,7821,4277,5579
Brown,Syphillis,2021,36,21.3,171647,84617,87030,64417,62250,14778,7852,4294,5601
Brown,Syphillis,2022,53,31.3,172331,84954,87377,64674,62498,14837,7883,4311,5623
Brown,Syphillis,2023,45,26.6,173015,85291,87724,64930,62746,14896,7914,4328,5645
Brown,Syphillis,2024,44,25.8,173699,85628,88070,65187,62994,14955,7946,4345,5668
Butler,Chlaydia,2020,2688,689.3,390000,193105,196895,163505,151955,30788,25770,4894,12442
Butler,Chlaydia,2021,2402,615.9,391560,193877,197682,164159,152562,30911,25873,4913,12491
Butler,Chlaydia,2022,2845,729.6,393120,194649,198470,164813,153170,31034,25976,4933,12541
Butler,Chlaydia,2023,1917,491.7,394680,195422,199257,165467,153778,31157,26079,4952,12591
Butler,Chlaydia,2024,2895,742.4,396240,196194,200045,166121,154386,31280,26182,4972,12641
Butler,Gonorrhoea,2020,893,229.2,390000,193105,196895,163505,151955,30788,25770,4894,12442
Butler,Gonorrhoea,2021,961,246.5,391560,193877,197682,164159,152562,30911,25873,4913,12491
Butler,Gonorrhoea,2022,1279,328.1,393120,194649,198470,164813,153170,31034,25976,4933,12541
Butler,Gonorrhoea,2023,1124,288.4,394680,195422,199257,165467,153778,31157,26079,4952,12591
Butler,Gonorrhoea,2024,999,256.2,396240,196194,200045,166121,154386,31280,26182,4972,12641
Butler,Syphillis,2020,81,20.8,390000,193105,196895,163505,151955,30788,25770,4894,12442
Butler,Syphillis,2021,95,24.4,391560,193877,197682,164159,152562,30911,25873,4913,12491
Butler,Syphillis,2022,126,32.4,393120,194649,198470,164813,153170,31034,25976,4933,12541
Butler,Syphillis,2023,74,19.0,394680,195422,199257,165467,153778,31157,26079,4952,12591
Butler,Syphillis,2024,141,36.2,396240,196194,200045,166121,154386,31280,26182,4972,12641
Carroll,Chlaydia,2020,553,399.6,138604,69353,69251,55495,61976,9371,11334,2823,2906
Carroll,Chlaydia,2021,578,417.1,139158,69630,69528,55716,62223,9408,11379,2834,2917
Carroll,Chlaydia,2022,402,290.4,139712,69907,69805,55938,62471,9445,11424,2845,2929
Carroll,Chlaydia,2023,564,407.4,140267,70185,70082,56160,62719,9483,11470,2856,2940
Carroll,Chlaydia,2024,485,350.4,140821,70462,70359,56382,62967,9520,11515,2868,2952
Carroll,Gonorrhoea,2020,137,98.9,138604,69353,69251,55495,61976,9371,11334,2823,2906
Carroll,Gonorrhoea,2021,170,123.0,139158,69630,69528,55716,62223,9408,11379,2834,2917
Carroll,Gonorrhoea,2022,190,137.3,139712,69907,69805,55938,62471,9445,11424,2845,2929
Carroll,Gonorrhoea,2023,203,147.0,140267,70185,70082,56160,62719,9483,11470,2856,2940
Carroll,Gonorrhoea,2024,219,158.2,140821,70462,70359,56382,62967,9520,11515,2868,2952
Carroll,Syphillis,2020,19,14.2,138604,69353,69251,55495,61976,9371,11334,2823,2906
Carroll,Syphillis,2021,20,15.1,139158,69630,69528,55716,62223,9408,11379,2834,2917
Carroll,Syphillis,2022,24,17.5,139712,69907,69805,55938,62471,9445,11424,2845,2929
Carroll,Syphillis,2023,24,17.6,140267,70185,70082,56160,62719,9483,11470,2856,2940
Carroll,Syphillis,2024,21,15.2,140821,70462,70359,56382,62967,9520,11515,2868,2952
Champaign,Chlaydia,2020,144,397.1,36331,18185,18146,14668,13657,1963,2952,522,669
Champaign,Chlaydia,2021,145,399.5,36476,18257,18218,14726,13711,1970,2963,524,671
Champaign,Chlaydia,2022,169,466.4,36621,18330,18291,14785,13766,1978,2975,526,674
Champaign,Chlaydia,2023,178,491.7,36766,18403,18363,14844,13820,1986,2987,528,677
Champaign,Chlaydia,2024,197,543.8,36912,18475,18436,14902,13875,1994,2999,530,679
Champaign,Gonorrhoea,2020,83,231.0,36331,18185,18146,14668,13657,1963,2952,522,669
Champaign,Gonorrhoea,2021,54,149.3,36476,18257,18218,14726,13711,1970,2963,524,671
Champaign,Gonorrhoea,2022,82,228.3,36621,18330,18291,14785,13766,1978,2975,526,674
Champaign,Gonorrhoea,2023,94,261.4,36766,18403,18363,14844,13820,1986,2987,528,677
Champaign,Gonorrhoea,2024,66,183.4,36912,18475,18436,14902,13875,1994,2999,530,679
Champaign,Syphillis,2020,10,27.7,36331,18185,18146,14668,13657,1963,2952,522,669
Champaign,Syphillis,2021,9,26.7,36476,18257,18218,14726,13711,1970,2963,524,671
Champaign,Syphillis,2022,11,30.9,36621,18330,18291,14785,13766,1978,2975,526,674
Champaign,Syphillis,2023,7,20.7,36766,18403,18363,14844,13820,1986,2987,528,677
Champaign,Syphillis,2024,8,22.7,36912,18475,18436,14902,13875,1994,2999,530,679
Clark,Chlaydia,2020,198,555.1,35811,17847,17964,15626,15436,3357,3663,1578,947
Clark,Chlaydia,2021,169,473.1,35954,17918,18035,15688,15497,3370,3677,1584,950
Clark,Chlaydia,2022,160,448.4,36097,17989,18107,15751,15559,3383,3692,1590,954
Clark,Chlaydia,2023,159,444.3,36240,18061,18179,15813,15621,3397,3706,1596,958
Clark,Chlaydia,2024,170,476.3,36383,18132,18251,15876,15682,3410,3721,1603,962
Clark,Gonorrhoea,2020,62,173.5,35811,17847,17964,15626,15436,3357,3663,1578,947
Clark,Gonorrhoea,2021,72,201.3,35954,17918,18035,15688,15497,3370,3677,1584,950
Clark,Gonorrhoea,2022,76,214.3,36097,17989,18107,15751,15559,3383,3692,1590,954
Clark,Gonorrhoea,2023,58,162.8,36240,18061,18179,15813,15621,3397,3706,1596,958
Clark,Gonorrhoea,2024,73,204.2,36383,18132,18251,15876,15682,3410,3721,1603,962
Clark,Syphillis,2020,10,29.5,35811,17847,17964,15626,15436,3357,3663,1578,947
Clark,Syphillis,2021,5,16.2,35954,17918,18035,15688,15497,3370,3677,1584,950
Clark,Syphillis,2022,9,27.5,36097,17989,18107,15751,15559,3383,3692,1590,954
Clark,Syphillis,2023,7,21.1,36240,18061,18179,15813,15621,3397,3706,1596,958
Clark,Syphillis,2024,6,18.7,36383,18132,18251,15876,15682,3410,3721,1603,962
Clermont,Chlaydia,2020,221,420.9,52561,26488,26073,21251,19720,2484,3680,2307,1759
Clermont,Chlaydia,2021,320,610.0,52771,26593,26177,21336,19798,2493,3694,2316,1766
Clermont,Chlaydia,2022,324,616.7,52981,26699,26281,21421,19877,2503,3709,2325,1773
Clermont,Chlaydia,2023,319,607.2,53191,26805,26385,21506,19956,2513,3724,2334,1780
Clermont,Chlaydia,2024,250,476.6,53401,26911,26490,21591,20035,2523,3738,2343,1787
Clermont,Gonorrhoea,2020,83,158.9,52561,26488,26073,21251,19720,2484,3680,2307,1759
Clermont,Gonorrhoea,2021,89,170.9,52771,26593,26177,21336,19798,2493,3694,2316,1766
Clermont,Gonorrhoea,2022,124,236.4,52981,26699,26281,21421,19877,2503,3709,2325,1773
Clermont,Gonorrhoea,2023,115,219.7,53191,26805,26385,21506,19956,2513,3724,2334,1780
Clermont,Gonorrhoea,2024,90,171.4,53401,26911,26490,21591,20035,2523,3738,2343,1787
Clermont,Syphillis,2020,8,16.1,52561,26488,26073,21251,19720,2484,3680,2307,1759
Clermont,Syphillis,2021,8,15.8,52771,26593,26177,21336,19798,2493,3694,2316,1766
Clermont,Syphillis,2022,11,22.0,52981,26699,26281,21421,19877,2503,3709,2325,1773
Clermont,Syphillis,2023,10,20.5,53191,26805,26385,21506,19956,2513,3724,2334,1780
Clermont,Syphillis,2024,13,25.5,53401,26911,26490,21591,20035,2523,3738,2343,1787
Clinton,Chlaydia,2020,359,421.7,85314,41638,43676,30760,35586,6249,6253,3479,3143
Clinton,Chlaydia,2021,288,338.2,85655,41804,43850,30883,35728,6273,6278,3492,3155
Clinton,Chlaydia,2022,327,384.1,85996,41971,44025,31006,35870,6298,6303,3506,3168
Clinton,Chlaydia,2023,404,474.2,86337,42137,44200,31129,36013,6323,6328,3520,3180
Clinton,Chlaydia,2024,407,477.3,86679,42304,44374,31252,36155,6348,6353,3534,3193
Clinton,Gonorrhoea,2020,134,157.6,85314,41638,43676,30760,35586,6249,6253,3479,3143
Clinton,Gonorrhoea,2021,133,156.9,85655,41804,43850,30883,35728,6273,6278,3492,3155
Clinton,Gonorrhoea,2022,115,135.8,85996,41971,44025,31006,35870,6298,6303,3506,3168
Clinton,Gonorrhoea,2023,140,164.9,86337,42137,44200,31129,36013,6323,6328,3520,3180
Clinton,Gonorrhoea,2024,166,195.6,86679,42304,44374,31252,36155,6348,6353,3534,3193
Clinton,Syphillis,2020,12,14.9,85314,41638,43676,30760,35586,6249,6253,3479,3143
Clinton,Syphillis,2021,14,17.1,85655,41804,43850,30883,35728,6273,6278,3492,3155
Clinton,Syphillis,2022,13,16.1,85996,41971,44025,31006,35870,6298,6303,3506,3168
Clinton,Syphillis,2023,18,21.4,86337,42137,44200,31129,36013,6323,6328,3520,3180
Clinton,Syphillis,2024,11,13.5,86679,42304,44374,31252,36155,6348,6353,3534,3193
Columbiana,Chlaydia,2020,427,480.3,88990,43683,45307,34464,34140,6674,4249,2371,1699
Columbiana,Chlaydia,2021,419,471.1,89345,43857,45488,34601,34276,6700,4265,2380,1705
Columbiana,Chlaydia,2022,521,586.1,89701,44032,45669,34739,34413,6727,4282,2389,1712
Columbiana,Chlaydia,2023,534,601.1,90057,44207,45850,34877,34549,6754,4299,2399,1719
Columbiana,Chlaydia,2024,638,717.9,90413,44381,46031,35015,34686,6780,4316,2408,1726
Columbiana,Gonorrhoea,2020,212,238.6,88990,43683,45307,34464,34140,6674,4249,2371,1699
Columbiana,Gonorrhoea,2021,194,218.8,89345,43857,45488,34601,34276,6700,4265,2380,1705
Columbiana,Gonorrhoea,2022,211,237.8,89701,44032,45669,34739,34413,6727,4282,2389,1712
Columbiana,Gonorrhoea,2023,261,294.1,90057,44207,45850,34877,34549,6754,4299,2399,1719
Columbiana,Gonorrhoea,2024,167,188.7,90413,44381,46031,35015,34686,6780,4316,2408,1726
Columbiana,Syphillis,2020,24,27.2,88990,43683,45307,34464,34140,6674,4249,2371,1699
Columbiana,Syphillis,2021,15,17.2,89345,43857,45488,34601,34276,6700,4265,2380,1705
Columbiana,Syphillis,2022,17,20.1,89701,44032,45669,34739,34413,6727,4282,2389,1712
Columbiana,Syphillis,2023,27,30.5,90057,44207,45850,34877,34549,6754,4299,2399,1719
Columbiana,Syphillis,2024,18,21.2,90413,44381,46031,35015,34686,6780,4316,2408,1726
Coshocton,Chlaydia,2020,503,313.8,160475,77869,82606,59379,66524,6863,17603,2351,6520
Coshocton,Chlaydia,2021,575,358.4,161116,78180,82936,59616,66790,6890,17673,2360,6546
Coshocton,Chlaydia,2022,580,362.0,161758,78491,83266,59854,67056,6917,17743,2369,6572
Coshocton,Chlaydia,2023,443,276.3,162400,78803,83597,60091,67322,6945,17814,2379,6598
Coshocton,Chlaydia,2024,507,316.4,163042,79114,83927,60329,67588,6972,17884,2388,6624
Coshocton,Gonorrhoea,2020,211,132.0,160475,77869,82606,59379,66524,6863,17603,2351,6520
Coshocton,Gonorrhoea,2021,239,149.2,161116,78180,82936,59616,66790,6890,17673,2360,6546
Coshocton,Gonorrhoea,2022,251,156.8,161758,78491,83266,59854,67056,6917,17743,2369,6572
Coshocton,Gonorrhoea,2023,208,130.2,162400,78803,83597,60091,67322,6945,17814,2379,6598
Coshocton,Gonorrhoea,2024,215,134.4,163042,79114,83927,60329,67588,6972,17884,2388,6624
Coshocton,Syphillis,2020,29,18.4,160475,77869,82606,59379,66524,6863,17603,2351,6520
Coshocton,Syphillis,2021,26,16.4,161116,78180,82936,59616,66790,6890,17673,2360,6546
Coshocton,Syphillis,2022,21,13.1,161758,78491,83266,59854,67056,6917,17743,2369,6572
Coshocton,Syphillis,2023,18,11.4,162400,78803,83597,60091,67322,6945,17814,2379,6598
Coshocton,Syphillis,2024,19,12.4,163042,79114,83927,60329,67588,6972,17884,2388,6624
Crawford,Chlaydia,2020,91,262.0,34956,17239,17717,14681,14233,457,1375,562,1395
Crawford,Chlaydia,2021,117,334.8,35095,17307,17787,14739,14289,458,1380,564,1400
Crawford,Chlaydia,2022,94,270.9,35235,17376,17858,14798,14346,460,1386,566,1406
Crawford,Chlaydia,2023,83,239.7,35375,17445,17929,14857,14403,462,1391,568,1411
Crawford,Chlaydia,2024,85,244.8,35515,17514,18000,14915,14460,464,1397,570,1417
Crawford,Gonorrhoea,2020,31,88.9,34956,17239,17717,14681,14233,457,1375,562,1395
Crawford,Gonorrhoea,2021,46,132.9,35095,17307,17787,14739,14289,458,1380,564,1400
Crawford,Gonorrhoea,2022,57,164.6,35235,17376,17858,14798,14346,460,1386,566,1406
Crawford,Gonorrhoea,2023,42,121.9,35375,17445,17929,14857,14403,462,1391,568,1411
Crawford,Gonorrhoea,2024,39,112.5,35515,17514,18000,14915,14460,464,1397,570,1417
Crawford,Syphillis,2020,4,14.3,34956,17239,17717,14681,14233,457,1375,562,1395
Crawford,Syphillis,2021,5,14.9,35095,17307,17787,14739,14289,458,1380,564,1400
Crawford,Syphillis,2022,6,17.5,35235,17376,17858,14798,14346,460,1386,566,1406
Crawford,Syphillis,2023,3,10.7,35375,17445,17929,14857,14403,462,1391,568,1411
Crawford,Syphillis,2024,5,14.9,35515,17514,18000,14915,14460,464,1397,570,1417
Cuyahoga,Chlaydia,2020,7463,606.8,1230000,617718,612282,512191,431391,106835,112833,34653,43501
Cuyahoga,Chlaydia,2021,6459,525.2,1234920,620188,614731,514239,433116,107262,113284,34791,43675
Cuyahoga,Chlaydia,2022,7943,645.8,1239840,622659,617180,516288,434842,107689,113735,34930,43849
Cuyahoga,Chlaydia,2023,10685,868.7,1244760,625130,619629,518337,436567,108117,114186,35068,44023
Cuyahoga,Chlaydia,2024,7317,594.9,1249680,627601,622078,520386,438293,108544,114638,35207,44197
Cuyahoga,Gonorrhoea,2020,2228,181.2,1230000,617718,612282,512191,431391,106835,112833,34653,43501
Cuyahoga,Gonorrhoea,2021,2723,221.4,1234920,620188,614731,514239,433116,107262,113284,34791,43675
Cuyahoga,Gonorrhoea,2022,3300,268.3,1239840,622659,617180,516288,434842,107689,113735,34930,43849
Cuyahoga,Gonorrhoea,2023,3439,279.6,1244760,625130,619629,518337,436567,108117,114186,35068,44023
Cuyahoga,Gonorrhoea,2024,1964,159.7,1249680,627601,622078,520386,438293,108544,114638,35207,44197
Cuyahoga,Syphillis,2020,260,21.2,1230000,617718,612282,512191,431391,106835,112833,34653,43501
Cuyahoga,Syphillis,2021,428,34.8,1234920,620188,614731,514239,433116,107262,113284,34791,43675
Cuyahoga,Syphillis,2022,258,21.0,1239840,622659,617180,516288,434842,107689,113735,34930,43849
Cuyahoga,Syphillis,2023,378,30.8,1244760,625130,619629,518337,436567,108117,114186,35068,44023
Cuyahoga,Syphillis,2024,307,25.0,1249680,627601,622078,520386,438293,108544,114638,35207,44197
Darke,Chlaydia,2020,611,358.2,170853,84991,85862,68814,68453,2577,6303,1740,2837
Darke,Chlaydia,2021,1033,604.8,171536,85330,86205,69089,68726,2587,6328,1746,2848
Darke,Chlaydia,2022,807,472.7,172219,85670,86548,69364,69000,2597,6353,1753,2859
Darke,Chlaydia,2023,736,431.1,172903,86010,86892,69639,69274,2607,6378,1760,2871
Darke,Chlaydia,2024,987,578.2,173586,86350,87235,69915,69548,2618,6403,1767,2882
Darke,Gonorrhoea,2020,428,250.7,170853,84991,85862,68814,68453,2577,6303,1740,2837
Darke,Gonorrhoea,2021,275,161.1,171536,85330,86205,69089,68726,2587,6328,1746,2848
Darke,Gonorrhoea,2022,327,191.7,172219,85670,86548,69364,69000,2597,6353,1753,2859
Darke,Gonorrhoea,2023,352,206.5,172903,86010,86892,69639,69274,2607,6378,1760,2871
Darke,Gonorrhoea,2024,349,204.8,173586,86350,87235,69915,69548,2618,6403,1767,2882
Darke,Syphillis,2020,30,18.0,170853,84991,85862,68814,68453,2577,6303,1740,2837
Darke,Syphillis,2021,40,23.9,171536,85330,86205,69089,68726,2587,6328,1746,2848
Darke,Syphillis,2022,32,19.2,172219,85670,86548,69364,69000,2597,6353,1753,2859
Darke,Syphillis,2023,42,24.7,172903,86010,86892,69639,69274,2607,6378,1760,2871
Darke,Syphillis,2024,42,24.6,173586,86350,87235,69915,69548,2618,6403,1767,2882
Defiance,Chlaydia,2020,677,491.0,137974,69091,68883,52424,48256,11414,12915,3896,4325
Defiance,Chlaydia,2021,791,573.8,138525,69367,69158,52633,48449,11459,12966,3911,4342
Defiance,Chlaydia,2022,868,629.3,139077,69643,69434,52843,48642,11505,13018,3927,4359
